order_id,customer_id,employee_id,shipper_id,region_id,order_date,ship_date,promised_date,delivered_date,order_status,sales_channel
43,1547,1,5,8,2025-11-16,2025-11-18,2025-11-19,2025-11-19,Completed,Sales Rep
44,1771,,3,5,2022-01-03,2022-01-03,2022-01-05,2022-01-08,Completed,Mobile App
45,2309,,3,7,2024-08-22,2024-08-24,2024-08-24,2024-08-24,Completed,Web
46,2628,,3,6,2024-11-30,2024-11-30,2024-12-05,2024-12-05,Completed,Mobile App
47,11,,2,8,2024-02-26,2024-02-27,2024-02-28,2024-02-28,Completed,Marketplace
48,488,1,2,2,2024-07-11,2024-07-13,2024-07-14,,Pending,Sales Rep
49,2927,,3,3,2024-07-06,,2024-07-11,,Cancelled,Marketplace
50,1854,,5,7,2023-03-07,2023-03-09,2023-03-12,2023-03-11,Completed,Web
51,1633,,1,5,2022-06-12,2022-06-12,2022-06-18,2022-06-19,Completed,Mobile App
52,403,,1,2,2024-11-12,2024-11-12,2024-11-17,2024-11-19,Completed,Marketplace
53,2267,,4,8,2023-04-04,2023-04-05,2023-04-10,2023-04-12,Completed,Mobile App
54,2989,,1,5,2023-01-27,,2023-02-01,,Cancelled,Mobile App
55,411,,3,7,2023-10-24,2023-10-25,2023-10-26,2023-10-26,Completed,Mobile App
56,1148,,5,4,2023-06-24,2023-06-24,2023-06-26,2023-06-26,Completed,Web
57,2195,,4,3,2024-06-28,,2024-07-04,,Pending,Mobile App
58,1747,,4,4,2024-11-15,2024-11-15,2024-11-19,2024-11-21,Completed,Web
59,364,22,3,5,2023-11-10,2023-11-10,2023-11-13,2023-11-13,Completed,Sales Rep
60,2389,,4,3,2023-03-01,2023-03-01,2023-03-06,2023-03-07,Completed,Marketplace
61,1380,,4,1,2022-12-06,2022-12-08,2022-12-08,2022-12-09,Completed,Mobile App
62,1995,,2,7,2024-07-10,2024-07-12,2024-07-13,2024-07-13,Completed,Marketplace
63,773,,5,7,2024-05-01,2024-05-02,2024-05-06,2024-05-06,Completed,Mobile App
64,132,,2,4,2022-09-20,2022-09-22,2022-09-26,2022-09-25,Completed,Mobile App
65,1436,,3,4,2022-05-09,2022-05-09,2022-05-13,2022-05-15,Completed,Marketplace
66,2509,,2,3,2025-07-21,2025-07-23,2025-07-26,2025-07-26,Completed,Mobile App
67,1971,8,5,4,2022-10-16,2022-10-16,2022-10-21,2022-10-24,Completed,Sales Rep
68,1976,,3,2,2023-08-22,2023-08-24,2023-08-26,2023-08-27,Completed,Web
69,2665,,1,2,2024-06-10,2024-06-12,2024-06-14,2024-06-13,Completed,Mobile App
70,1330,,4,2,2023-05-28,2023-05-28,2023-05-30,2023-05-30,Completed,Mobile App
71,2245,,2,2,2022-05-28,2022-05-28,2022-05-30,2022-05-30,Completed,Web
72,78,,2,6,2025-10-14,2025-10-14,2025-10-16,2025-10-16,Completed,Marketplace
73,2412,,4,1,2025-03-05,2025-03-05,2025-03-08,2025-03-09,Completed,Web
74,190,,5,7,2022-06-04,2022-06-06,2022-06-07,2022-06-07,Completed,Web
75,649,,3,8,2023-06-05,2023-06-06,2023-06-08,2023-06-08,Completed,Marketplace
76,2989,,4,5,2023-05-22,2023-05-23,2023-05-25,2023-05-26,Completed,Mobile App
77,1656,,2,1,2023-07-02,2023-07-04,2023-07-05,2023-07-05,Completed,Marketplace
78,2732,,4,6,2023-04-23,2023-04-25,2023-04-29,2023-05-01,Completed,Mobile App
79,920,10,4,7,2023-10-26,2023-10-28,2023-11-01,2023-11-01,Completed,Sales Rep
80,2049,,5,3,2022-06-20,2022-06-20,2022-06-25,2022-06-24,Completed,Marketplace
81,17,,4,1,2022-07-15,2022-07-15,2022-07-17,,Pending,Mobile App
82,1626,,2,3,2023-01-12,2023-01-13,2023-01-15,2023-01-16,Completed,Web
83,2736,,4,6,2022-08-13,2022-08-14,2022-08-19,2022-08-19,Completed,Web
84,2340,,2,7,2022-02-26,2022-02-28,2022-03-02,2022-03-02,Completed,Marketplace
85,2832,,1,7,2023-06-28,,2023-07-03,,Pending,Web
86,2369,,2,4,2022-02-21,2022-02-23,2022-02-23,,Pending,Web
87,1239,,1,8,2025-02-07,2025-02-07,2025-02-10,2025-02-10,Completed,Web
88,2890,,1,2,2022-07-20,,2022-07-24,,Pending,Web
89,2856,,5,7,2025-05-29,2025-05-30,2025-06-03,2025-06-05,Completed,Web
90,456,,1,1,2023-08-10,2023-08-10,2023-08-12,2023-08-13,Completed,Mobile App
91,760,,3,6,2024-03-06,2024-03-06,2024-03-10,2024-03-11,Completed,Mobile App
92,2514,12,4,4,2023-07-20,2023-07-22,2023-07-24,2023-07-24,Completed,Sales Rep
93,33,,3,1,2024-09-02,2024-09-02,2024-09-06,,Pending,Web
94,1068,,1,8,2024-11-14,2024-11-15,2024-11-19,2024-11-19,Completed,Marketplace
95,32,,1,5,2024-08-24,2024-08-24,2024-08-27,2024-08-27,Completed,Web
96,1218,,5,3,2022-03-07,2022-03-07,2022-03-13,2022-03-13,Completed,Web
97,2724,,5,3,2024-12-09,2024-12-09,2024-12-11,2024-12-13,Completed,Web
98,1364,,3,7,2024-11-11,2024-11-12,2024-11-17,2024-11-18,Completed,Web
99,2039,,1,7,2023-04-11,2023-04-11,2023-04-13,2023-04-14,Completed,Mobile App
100,86,,5,1,2025-11-13,2025-11-14,2025-11-19,2025-11-18,Completed,Marketplace
101,1521,,4,8,2022-06-19,2022-06-20,2022-06-22,2022-06-23,Completed,Web
102,797,,4,1,2025-06-15,2025-06-16,2025-06-19,2025-06-20,Completed,Mobile App
103,20,,2,7,2022-03-07,2022-03-08,2022-03-11,2022-03-11,Completed,Mobile App
104,1193,,1,5,2024-01-05,2024-01-05,2024-01-11,2024-01-11,Completed,Web
105,2827,,1,6,2025-06-18,2025-06-20,2025-06-21,2025-06-21,Completed,Mobile App
106,1472,,4,4,2025-11-02,2025-11-03,2025-11-05,2025-11-07,Completed,Web
107,1996,,1,6,2022-06-23,2022-06-25,2022-06-29,2022-06-29,Completed,Web
108,263,,5,4,2024-11-18,2024-11-20,2024-11-23,2024-11-26,Completed,Web
109,485,,2,7,2025-06-13,2025-06-13,2025-06-15,2025-06-16,Completed,Marketplace
110,2592,,2,2,2024-05-25,2024-05-25,2024-05-30,2024-05-30,Completed,Web
111,2204,,1,1,2022-11-01,2022-11-02,2022-11-05,2022-11-05,Completed,Mobile App
112,1397,,3,1,2022-10-13,2022-10-14,2022-10-15,2022-10-16,Completed,Web
113,1511,,3,2,2024-09-26,2024-09-27,2024-09-29,2024-10-02,Completed,Web
114,2367,,2,3,2022-09-04,2022-09-06,2022-09-09,2022-09-09,Completed,Web
115,90,,3,8,2025-06-11,2025-06-11,2025-06-15,2025-06-14,Completed,Marketplace
116,2324,,3,2,2022-10-08,2022-10-09,2022-10-10,2022-10-09,Completed,Marketplace
117,791,,1,3,2024-06-29,2024-07-01,2024-07-03,,Pending,Marketplace
118,2062,,5,3,2023-07-04,2023-07-05,2023-07-07,2023-07-08,Completed,Marketplace
119,1782,,3,1,2025-05-12,2025-05-12,2025-05-16,,Pending,Mobile App
120,2310,,1,3,2023-03-17,2023-03-18,2023-03-21,2023-03-21,Completed,Marketplace
121,251,,3,5,2023-08-01,2023-08-02,2023-08-07,2023-08-06,Completed,Web
122,1877,,1,3,2023-10-17,2023-10-17,2023-10-19,2023-10-21,Completed,Web
123,2692,,5,6,2022-07-30,2022-07-31,2022-08-02,2022-08-03,Completed,Mobile App
124,1460,,4,4,2024-12-03,2024-12-05,2024-12-05,2024-12-05,Completed,Web
125,275,,2,3,2025-04-19,2025-04-20,2025-04-22,2025-04-25,Completed,Web
126,1762,,3,3,2025-04-28,2025-04-30,2025-05-02,2025-05-03,Completed,Mobile App
127,19,,1,5,2025-01-19,2025-01-20,2025-01-25,2025-01-25,Completed,Web
128,1307,,1,2,2024-03-09,2024-03-09,2024-03-11,2024-03-10,Completed,Marketplace
129,1541,,4,7,2024-06-08,2024-06-10,2024-06-10,2024-06-10,Completed,Web
130,2557,,1,2,2023-01-09,,2023-01-12,,Cancelled,Web
131,2296,,3,4,2025-10-02,2025-10-02,2025-10-08,2025-10-08,Completed,Mobile App
132,2912,,2,2,2025-07-21,,2025-07-23,,Pending,Web
133,1495,,3,6,2022-10-18,,2022-10-24,,Pending,Mobile App
134,2989,11,4,5,2025-11-26,2025-11-28,2025-11-29,,Pending,Sales Rep
135,2979,,2,5,2024-12-24,2024-12-24,2024-12-28,2024-12-28,Completed,Web
136,1429,,3,3,2025-03-17,,2025-03-19,,Cancelled,Mobile App
137,572,24,3,2,2022-07-13,2022-07-15,2022-07-18,2022-07-18,Completed,Sales Rep
138,1742,,5,6,2024-06-04,2024-06-05,2024-06-07,2024-06-08,Completed,Mobile App
139,2379,,5,1,2025-04-10,2025-04-11,2025-04-14,2025-04-14,Completed,Web
140,1299,,4,2,2025-12-26,2025-12-27,2025-12-31,2025-12-31,Completed,Web
141,753,,2,6,2023-06-21,2023-06-23,2023-06-26,2023-06-27,Completed,Mobile App
142,2596,,1,3,2022-01-28,2022-01-30,2022-01-31,2022-02-01,Completed,Mobile App
143,775,,1,1,2022-02-02,,2022-02-07,,Cancelled,Marketplace
144,102,,1,8,2025-11-29,,2025-12-03,,Cancelled,Mobile App
145,2224,,3,8,2023-03-25,2023-03-27,2023-03-30,2023-04-02,Completed,Marketplace
146,1706,27,3,5,2024-10-09,2024-10-09,2024-10-12,2024-10-11,Completed,Sales Rep
147,2986,,3,8,2025-11-15,2025-11-16,2025-11-19,2025-11-20,Completed,Mobile App
148,2472,,4,8,2025-11-28,2025-11-30,2025-12-04,,Pending,Web
149,95,,3,7,2025-09-09,2025-09-09,2025-09-12,2025-09-12,Completed,Mobile App
150,2970,,3,7,2022-07-25,2022-07-25,2022-07-29,2022-07-29,Completed,Web
151,2736,,3,6,2023-12-06,2023-12-06,2023-12-12,2023-12-12,Completed,Web
152,1465,,2,2,2025-12-01,2025-12-01,2025-12-07,2025-12-07,Completed,Marketplace
153,1949,,1,3,2022-12-08,2022-12-08,2022-12-13,2022-12-13,Completed,Web
154,986,,4,1,2025-05-09,2025-05-11,2025-05-13,,Pending,Web
155,2772,,5,1,2023-03-17,,2023-03-23,,Pending,Web
156,1220,,5,7,2024-01-21,2024-01-21,2024-01-24,2024-01-24,Completed,Mobile App
157,1357,,3,4,2023-08-23,2023-08-25,2023-08-25,2023-08-27,Completed,Marketplace
158,2809,,1,7,2024-09-17,2024-09-17,2024-09-22,2024-09-23,Completed,Mobile App
159,1852,,5,4,2024-11-08,2024-11-10,2024-11-10,2024-11-10,Completed,Web
160,310,,4,7,2023-10-22,,2023-10-24,,Cancelled,Mobile App
161,232,,2,1,2023-06-05,2023-06-07,2023-06-10,2023-06-11,Completed,Web
162,227,,4,3,2022-12-15,,2022-12-17,,Cancelled,Mobile App
163,1119,,1,5,2024-07-29,2024-07-29,2024-08-01,2024-08-02,Completed,Web
164,1538,,2,2,2022-05-04,2022-05-06,2022-05-07,2022-05-08,Completed,Web
165,315,,4,2,2025-10-08,2025-10-08,2025-10-10,2025-10-10,Completed,Web
166,207,,5,7,2024-07-24,2024-07-26,2024-07-26,2024-07-27,Completed,Web
167,763,,4,2,2024-07-17,2024-07-19,2024-07-19,2024-07-20,Completed,Web
168,897,,4,2,2022-02-21,2022-02-23,2022-02-27,2022-02-27,Completed,Mobile App
169,1562,,2,1,2022-12-27,2022-12-27,2022-12-29,2022-12-30,Completed,Web
170,849,,3,7,2024-05-01,2024-05-03,2024-05-06,2024-05-09,Completed,Web
171,2472,,1,8,2025-08-05,,2025-08-11,,Cancelled,Marketplace
172,2125,,4,1,2023-01-30,2023-02-01,2023-02-04,2023-02-03,Completed,Mobile App
173,1376,,5,8,2024-05-05,2024-05-05,2024-05-07,2024-05-07,Completed,Marketplace
174,1889,,5,2,2024-04-28,2024-04-30,2024-05-03,2024-05-03,Completed,Mobile App
175,683,,1,3,2025-11-29,2025-11-30,2025-12-04,2025-12-04,Completed,Marketplace
176,1522,,3,3,2024-11-22,2024-11-24,2024-11-25,2024-11-25,Completed,Mobile App
177,2022,,3,2,2024-03-20,2024-03-22,2024-03-23,2024-03-24,Completed,Mobile App
178,2710,,5,4,2023-11-23,2023-11-24,2023-11-27,2023-11-29,Completed,Mobile App
179,1715,,2,5,2024-03-31,2024-04-01,2024-04-06,2024-04-06,Completed,Web
180,2648,4,5,4,2022-12-16,2022-12-16,2022-12-19,2022-12-19,Completed,Sales Rep
181,2693,,3,1,2025-03-25,2025-03-27,2025-03-31,2025-04-01,Completed,Web
182,2368,,4,8,2022-12-24,2022-12-26,2022-12-29,2022-12-29,Completed,Web
183,268,,2,5,2023-09-18,2023-09-19,2023-09-23,2023-09-24,Completed,Mobile App
184,2158,,1,5,2024-02-20,2024-02-21,2024-02-24,2024-02-24,Completed,Mobile App
185,1843,,1,4,2023-07-05,2023-07-05,2023-07-09,2023-07-12,Completed,Marketplace
186,1345,,5,3,2022-04-02,2022-04-02,2022-04-04,2022-04-05,Completed,Web
187,2632,,3,5,2024-06-06,2024-06-06,2024-06-08,2024-06-07,Completed,Web
188,82,,3,7,2025-11-06,2025-11-06,2025-11-09,2025-11-09,Completed,Mobile App
189,2645,,5,7,2023-11-18,,2023-11-21,,Cancelled,Web
190,2880,,1,2,2023-11-10,2023-11-12,2023-11-14,,Pending,Web
191,2291,,1,1,2023-02-06,2023-02-06,2023-02-08,2023-02-09,Completed,Web
192,1731,,2,8,2023-03-18,2023-03-19,2023-03-22,2023-03-22,Completed,Mobile App
193,1829,,4,8,2023-09-10,,2023-09-13,,Pending,Web
194,2803,27,5,7,2023-08-11,2023-08-13,2023-08-14,2023-08-14,Completed,Sales Rep
195,984,,4,2,2024-09-02,2024-09-02,2024-09-06,2024-09-05,Completed,Web
196,1190,,3,4,2023-06-24,2023-06-25,2023-06-29,2023-06-29,Completed,Mobile App
197,2424,,3,7,2022-06-14,2022-06-15,2022-06-19,2022-06-19,Completed,Web
198,2740,,5,2,2022-01-01,2022-01-03,2022-01-06,2022-01-08,Completed,Mobile App
199,72,,2,3,2023-10-09,2023-10-09,2023-10-14,2023-10-16,Completed,Mobile App
200,1263,,2,2,2024-09-19,2024-09-20,2024-09-21,2024-09-21,Completed,Marketplace
201,2643,,4,7,2022-06-18,2022-06-19,2022-06-23,2022-06-23,Completed,Marketplace
202,1304,,5,1,2024-12-30,2024-12-30,2025-01-05,,Pending,Web
203,2270,,1,1,2024-02-08,2024-02-10,2024-02-12,2024-02-12,Completed,Marketplace
204,2183,,5,1,2024-02-28,2024-02-28,2024-03-02,,Pending,Web
205,214,,2,3,2022-07-28,2022-07-29,2022-07-31,2022-07-31,Completed,Mobile App
206,222,,1,8,2022-05-09,,2022-05-13,,Cancelled,Web
207,2526,,3,5,2024-04-14,2024-04-16,2024-04-19,2024-04-20,Completed,Mobile App
208,2450,,3,3,2023-07-01,2023-07-03,2023-07-07,2023-07-08,Completed,Web
209,383,,5,4,2022-02-05,2022-02-07,2022-02-08,2022-02-08,Completed,Marketplace
210,2596,,5,3,2023-12-22,2023-12-24,2023-12-24,2023-12-24,Completed,Marketplace
211,2522,,5,1,2025-02-13,2025-02-14,2025-02-17,2025-02-17,Completed,Web
212,1469,,5,7,2023-06-24,,2023-06-26,,Pending,Marketplace
213,1785,,4,1,2023-06-16,2023-06-17,2023-06-20,2023-06-21,Completed,Web
214,2856,,2,7,2025-06-10,2025-06-11,2025-06-12,2025-06-13,Completed,Web
215,1322,19,3,6,2023-05-19,2023-05-21,2023-05-25,2023-05-26,Completed,Sales Rep
216,2298,,4,6,2023-05-06,2023-05-08,2023-05-08,2023-05-08,Completed,Marketplace
217,2118,,3,3,2024-12-18,2024-12-20,2024-12-21,2024-12-23,Completed,Web
218,895,,4,3,2022-11-12,2022-11-14,2022-11-18,,Pending,Web
219,1150,,3,3,2025-03-22,2025-03-23,2025-03-25,2025-03-26,Completed,Mobile App
220,650,,5,5,2024-10-27,2024-10-27,2024-10-31,2024-11-03,Completed,Mobile App
221,1324,,4,2,2025-08-28,2025-08-28,2025-09-01,2025-09-01,Completed,Mobile App
222,205,,1,2,2023-12-20,,2023-12-25,,Pending,Marketplace
223,2267,,3,8,2022-04-10,2022-04-10,2022-04-12,2022-04-13,Completed,Mobile App
224,65,,4,7,2023-12-08,2023-12-09,2023-12-13,2023-12-15,Completed,Web
225,2659,,1,7,2025-09-06,2025-09-07,2025-09-11,2025-09-13,Completed,Web
226,1827,,5,8,2023-12-05,2023-12-07,2023-12-07,2023-12-07,Completed,Marketplace
227,1760,,2,2,2023-07-19,2023-07-21,2023-07-23,2023-07-23,Completed,Web
228,2616,,5,7,2023-09-19,2023-09-19,2023-09-24,2023-09-24,Completed,Marketplace
229,988,,4,6,2023-12-10,2023-12-12,2023-12-12,2023-12-11,Completed,Mobile App
230,1077,,2,8,2025-09-12,2025-09-13,2025-09-16,2025-09-19,Completed,Mobile App
231,877,,3,2,2022-11-07,2022-11-09,2022-11-11,,Pending,Web
232,2573,,2,7,2025-08-04,2025-08-05,2025-08-08,2025-08-07,Completed,Web
233,394,,2,6,2024-10-06,2024-10-08,2024-10-08,,Pending,Mobile App
234,1891,,1,1,2022-02-22,2022-02-23,2022-02-27,2022-02-27,Completed,Marketplace
235,2647,,4,3,2023-07-07,2023-07-09,2023-07-10,2023-07-10,Completed,Mobile App
236,984,,1,2,2023-12-31,2023-12-31,2024-01-05,2024-01-05,Completed,Mobile App
237,2602,,2,3,2023-04-10,2023-04-11,2023-04-16,2023-04-16,Completed,Marketplace
238,1404,,4,1,2025-10-02,,2025-10-06,,Cancelled,Marketplace
239,310,,2,7,2023-06-25,,2023-06-27,,Cancelled,Web
240,1174,,5,3,2022-06-06,2022-06-06,2022-06-10,2022-06-10,Completed,Web
241,245,,5,2,2022-07-19,2022-07-19,2022-07-24,2022-07-24,Completed,Mobile App
242,972,,3,1,2024-08-10,2024-08-12,2024-08-15,2024-08-15,Completed,Marketplace
243,2519,,5,5,2024-05-29,2024-05-30,2024-05-31,2024-06-01,Completed,Web
244,2889,,5,2,2025-05-05,2025-05-07,2025-05-09,2025-05-09,Completed,Web
245,483,,4,6,2022-05-18,2022-05-18,2022-05-22,2022-05-22,Completed,Mobile App
246,2090,,1,2,2024-07-21,2024-07-21,2024-07-27,2024-07-27,Completed,Web
247,2388,,2,7,2025-12-17,2025-12-18,2025-12-23,2025-12-23,Completed,Mobile App
248,1654,,1,4,2024-07-25,2024-07-25,2024-07-29,2024-07-29,Completed,Mobile App
249,2403,,1,2,2025-01-13,2025-01-13,2025-01-17,,Pending,Web
250,431,19,4,2,2022-08-09,2022-08-10,2022-08-14,2022-08-14,Completed,Sales Rep
251,1057,,4,1,2025-11-04,2025-11-05,2025-11-09,2025-11-10,Completed,Marketplace
252,1535,,5,3,2024-08-17,2024-08-17,2024-08-22,2024-08-22,Completed,Mobile App
253,505,,2,2,2022-09-24,2022-09-25,2022-09-26,2022-09-26,Completed,Web
254,1324,,5,2,2022-10-15,2022-10-17,2022-10-20,2022-10-21,Completed,Web
255,1962,,5,1,2023-11-29,2023-11-29,2023-12-05,2023-12-05,Completed,Web
256,123,14,5,3,2024-09-09,2024-09-11,2024-09-14,2024-09-14,Completed,Sales Rep
257,2425,,5,3,2025-03-04,2025-03-05,2025-03-06,2025-03-07,Completed,Mobile App
258,1387,5,2,5,2025-11-03,2025-11-03,2025-11-05,2025-11-06,Completed,Sales Rep
259,74,,5,7,2022-07-20,2022-07-20,2022-07-24,2022-07-25,Completed,Web
260,2224,,3,8,2023-01-22,2023-01-22,2023-01-27,2023-01-29,Completed,Mobile App
261,409,,3,6,2025-06-25,2025-06-27,2025-06-27,2025-06-27,Completed,Web
262,1844,,1,2,2025-04-14,2025-04-15,2025-04-18,2025-04-19,Completed,Web
263,80,10,1,4,2024-08-13,,2024-08-17,,Pending,Sales Rep
264,2839,,4,1,2022-05-24,2022-05-26,2022-05-27,2022-05-27,Completed,Mobile App
265,2124,,5,4,2025-10-17,,2025-10-19,,Pending,Marketplace
266,1929,,1,7,2022-04-13,2022-04-14,2022-04-17,2022-04-17,Completed,Web
267,2456,,3,8,2023-04-18,,2023-04-20,,Pending,Marketplace
268,2342,,5,7,2025-07-22,,2025-07-25,,Cancelled,Web
269,670,,4,3,2023-09-09,2023-09-11,2023-09-11,2023-09-11,Completed,Marketplace
270,1065,,4,1,2023-08-05,2023-08-05,2023-08-11,2023-08-12,Completed,Web
271,2417,,5,4,2025-11-11,2025-11-12,2025-11-15,2025-11-15,Completed,Mobile App
272,991,,1,4,2023-04-17,2023-04-17,2023-04-20,2023-04-21,Completed,Web
273,1120,,3,1,2022-11-08,2022-11-08,2022-11-13,,Pending,Mobile App
274,1415,,3,2,2022-02-13,2022-02-13,2022-02-17,2022-02-17,Completed,Marketplace
275,1772,,1,2,2023-05-02,2023-05-03,2023-05-04,2023-05-03,Completed,Web
276,1721,,3,3,2025-05-04,2025-05-06,2025-05-07,2025-05-10,Completed,Marketplace
277,394,,5,6,2025-05-13,2025-05-15,2025-05-15,2025-05-15,Completed,Marketplace
278,467,,3,3,2023-12-23,2023-12-24,2023-12-29,,Pending,Marketplace
279,642,,3,1,2025-02-08,2025-02-09,2025-02-11,2025-02-11,Completed,Mobile App
280,2132,12,1,1,2025-05-10,2025-05-11,2025-05-14,2025-05-14,Completed,Sales Rep
281,1553,,3,7,2024-12-14,2024-12-15,2024-12-20,2024-12-21,Completed,Web
282,1924,,1,2,2025-12-11,2025-12-12,2025-12-13,2025-12-13,Completed,Marketplace
283,568,,1,8,2023-08-18,2023-08-18,2023-08-22,,Pending,Web
284,971,,4,1,2024-12-01,2024-12-01,2024-12-04,2024-12-04,Completed,Web
285,1112,,2,1,2022-11-09,2022-11-11,2022-11-15,2022-11-16,Completed,Mobile App
286,160,,1,1,2024-02-02,2024-02-04,2024-02-04,2024-02-04,Completed,Mobile App
287,2160,,5,3,2025-02-07,2025-02-08,2025-02-13,2025-02-14,Completed,Web
288,1064,,5,4,2025-11-22,,2025-11-25,,Pending,Web
289,302,,3,3,2025-07-16,,2025-07-22,,Cancelled,Web
290,1292,,4,7,2025-10-17,2025-10-19,2025-10-23,2025-10-24,Completed,Marketplace
291,1401,,4,7,2023-04-20,2023-04-21,2023-04-22,,Pending,Mobile App
292,1583,,5,1,2024-07-17,2024-07-17,2024-07-20,2024-07-19,Completed,Mobile App
293,625,20,3,1,2024-07-26,,2024-07-31,,Cancelled,Sales Rep
294,2493,,4,1,2025-06-13,2025-06-14,2025-06-15,,Pending,Web
295,2879,,4,2,2025-08-15,2025-08-15,2025-08-17,2025-08-16,Completed,Web
296,1231,,5,2,2025-02-23,2025-02-24,2025-03-01,,Pending,Mobile App
297,17,25,2,1,2022-05-28,2022-05-30,2022-06-01,2022-06-03,Completed,Sales Rep
298,1461,,3,5,2023-11-16,2023-11-18,2023-11-19,2023-11-20,Completed,Web
299,227,,5,3,2023-09-30,2023-10-01,2023-10-05,2023-10-05,Completed,Marketplace
300,634,,2,1,2023-07-14,,2023-07-17,,Pending,Mobile App
301,1121,,4,6,2025-03-26,2025-03-26,2025-03-31,,Pending,Web
302,1592,,5,1,2022-10-07,2022-10-08,2022-10-10,2022-10-11,Completed,Web
303,2710,,1,4,2022-09-28,2022-09-29,2022-10-03,2022-10-06,Completed,Marketplace
304,1339,,5,4,2024-05-18,2024-05-19,2024-05-24,2024-05-25,Completed,Web
305,1910,28,3,7,2025-07-10,2025-07-10,2025-07-15,,Pending,Sales Rep
306,86,,4,1,2024-04-21,2024-04-21,2024-04-23,,Pending,Web
307,1696,,2,5,2024-08-05,2024-08-07,2024-08-11,2024-08-10,Completed,Web
308,2326,,5,3,2022-12-05,2022-12-06,2022-12-09,2022-12-09,Completed,Web
309,305,,1,1,2023-04-01,2023-04-01,2023-04-07,2023-04-07,Completed,Web
310,1973,,2,3,2024-12-22,2024-12-22,2024-12-28,,Pending,Mobile App
