payment_id,order_id,payment_method,payment_status,amount,payment_date
120,120,Card,Paid,310.93,2023-03-17
121,121,PayPal,Paid,277.91,2023-08-01
122,122,Card,Paid,919.27,2023-10-17
123,123,Invoice,Paid,142.96,2022-07-30
124,124,Bank Transfer,Paid,2046.48,2024-12-03
125,125,PayPal,Paid,907.14,2025-04-19
126,126,Card,Paid,941.88,2025-04-28
127,127,Card,Paid,1804.44,2025-01-19
128,128,Invoice,Paid,1753.87,2024-03-09
129,129,Invoice,Paid,788.07,2024-06-08
130,130,Bank Transfer,Refunded,2514.36,2023-01-09
131,131,Card,Paid,964.94,2025-10-02
132,132,Invoice,Pending,46.73,2025-07-21
133,133,PayPal,Pending,1306.94,2022-10-18
134,134,Card,Pending,1828.17,2025-11-26
135,135,Card,Paid,1586.51,2024-12-24
136,136,Bank Transfer,Refunded,2170.08,2025-03-17
137,137,Invoice,Paid,2694.9,2022-07-13
138,138,Card,Paid,1133.0,2024-06-04
139,139,Bank Transfer,Paid,288.38,2025-04-10
140,140,Bank Transfer,Paid,1575.14,2025-12-26
141,141,Card,Paid,796.4,2023-06-21
142,142,PayPal,Paid,216.24,2022-01-28
143,143,Bank Transfer,Refunded,1198.51,2022-02-02
144,144,Invoice,Refunded,936.94,2025-11-29
145,145,Bank Transfer,Paid,1238.66,2023-03-25
146,146,PayPal,Paid,1632.99,2024-10-09
147,147,PayPal,Paid,815.89,2025-11-15
148,148,Bank Transfer,Pending,4477.35,2025-11-28
149,149,Bank Transfer,Paid,1360.85,2025-09-09
150,150,Invoice,Paid,770.49,2022-07-25
151,151,Card,Paid,946.02,2023-12-06
152,152,Card,Paid,162.67,2025-12-01
153,153,PayPal,Paid,1965.97,2022-12-08
154,154,PayPal,Pending,1706.19,2025-05-09
155,155,Invoice,Pending,1723.01,2023-03-17
156,156,Card,Paid,415.8,2024-01-21
157,157,Card,Paid,126.84,2023-08-23
158,158,Bank Transfer,Paid,1201.48,2024-09-17
159,159,Invoice,Paid,113.08,2024-11-08
160,160,PayPal,Refunded,1139.2,2023-10-22
161,161,Bank Transfer,Paid,185.0,2023-06-05
162,162,PayPal,Refunded,15.21,2022-12-15
163,163,Bank Transfer,Paid,626.68,2024-07-29
164,164,PayPal,Paid,491.46,2022-05-04
165,165,Invoice,Paid,1308.04,2025-10-08
166,166,PayPal,Paid,1311.87,2024-07-24
167,167,Invoice,Paid,792.62,2024-07-17
168,168,Card,Paid,402.68,2022-02-21
169,169,Invoice,Paid,1429.34,2022-12-27
170,170,Bank Transfer,Paid,1126.23,2024-05-01
171,171,Card,Refunded,1811.14,2025-08-05
172,172,Card,Paid,1796.52,2023-01-30
173,173,PayPal,Paid,758.66,2024-05-05
174,174,Card,Paid,301.17,2024-04-28
175,175,Card,Paid,1955.63,2025-11-29
176,176,Bank Transfer,Paid,1966.13,2024-11-22
177,177,PayPal,Paid,326.62,2024-03-20
178,178,PayPal,Paid,2279.12,2023-11-23
179,179,PayPal,Paid,732.16,2024-03-31
180,180,Bank Transfer,Paid,1687.42,2022-12-16
181,181,Card,Paid,696.54,2025-03-25
182,182,Bank Transfer,Paid,558.85,2022-12-24
183,183,Bank Transfer,Paid,363.06,2023-09-18
184,184,Bank Transfer,Paid,325.99,2024-02-20
185,185,Bank Transfer,Paid,3422.19,2023-07-05
186,186,Bank Transfer,Paid,1653.39,2022-04-02
187,187,Bank Transfer,Paid,632.54,2024-06-06
188,188,Bank Transfer,Paid,354.63,2025-11-06
189,189,Invoice,Refunded,1527.87,2023-11-18
190,190,Invoice,Pending,1832.23,2023-11-10
191,191,Bank Transfer,Paid,2446.74,2023-02-06
192,192,Card,Paid,1420.0,2023-03-18
193,193,Bank Transfer,Pending,3998.42,2023-09-10
194,194,Card,Paid,110.27,2023-08-11
195,195,Card,Paid,1440.46,2024-09-02
196,196,Bank Transfer,Paid,1851.34,2023-06-24
197,197,Invoice,Paid,580.72,2022-06-14
198,198,PayPal,Paid,1917.77,2022-01-01
199,199,Invoice,Paid,130.98,2023-10-09
200,200,PayPal,Paid,899.11,2024-09-19
201,201,PayPal,Paid,524.88,2022-06-18
202,202,PayPal,Pending,435.47,2024-12-30
203,203,Card,Paid,2848.93,2024-02-08
204,204,PayPal,Pending,884.91,2024-02-28
205,205,Bank Transfer,Paid,58.46,2022-07-28
206,206,Card,Refunded,125.85,2022-05-09
207,207,Card,Paid,350.42,2024-04-14
208,208,Invoice,Paid,493.73,2023-07-01
209,209,PayPal,Paid,547.62,2022-02-05
210,210,Bank Transfer,Paid,594.51,2023-12-22
211,211,Card,Paid,1031.76,2025-02-13
212,212,Bank Transfer,Pending,241.93,2023-06-24
213,213,Invoice,Paid,370.65,2023-06-16
214,214,Card,Paid,4457.87,2025-06-10
215,215,Bank Transfer,Paid,262.0,2023-05-19
216,216,Bank Transfer,Paid,965.06,2023-05-06
217,217,Card,Paid,525.5,2024-12-18
218,218,Bank Transfer,Pending,1165.12,2022-11-12
219,219,Bank Transfer,Paid,343.62,2025-03-22
220,220,PayPal,Paid,771.15,2024-10-27
221,221,Invoice,Paid,200.87,2025-08-28
222,222,Invoice,Pending,1009.64,2023-12-20
223,223,Invoice,Paid,3046.99,2022-04-10
224,224,PayPal,Paid,7961.81,2023-12-08
225,225,Bank Transfer,Paid,2034.62,2025-09-06
226,226,PayPal,Paid,333.06,2023-12-05
227,227,Bank Transfer,Paid,313.23,2023-07-19
228,228,Invoice,Paid,427.6,2023-09-19
229,229,Bank Transfer,Paid,480.84,2023-12-10
230,230,Bank Transfer,Paid,500.31,2025-09-12
231,231,Bank Transfer,Pending,1498.96,2022-11-07
232,232,Invoice,Paid,540.89,2025-08-04
233,233,Card,Pending,1901.33,2024-10-06
234,234,Invoice,Paid,253.15,2022-02-22
235,235,PayPal,Paid,1343.67,2023-07-07
236,236,Card,Paid,2105.09,2023-12-31
237,237,Bank Transfer,Paid,4752.93,2023-04-10
238,238,PayPal,Refunded,479.68,2025-10-02
239,239,Bank Transfer,Refunded,3039.97,2023-06-25
240,240,Bank Transfer,Paid,1100.53,2022-06-06
241,241,Invoice,Paid,938.06,2022-07-19
242,242,PayPal,Paid,3172.61,2024-08-10
243,243,Bank Transfer,Paid,3510.22,2024-05-29
244,244,Invoice,Paid,275.4,2025-05-05
245,245,Card,Paid,411.96,2022-05-18
246,246,Card,Paid,2620.94,2024-07-21
247,247,Bank Transfer,Paid,3279.94,2025-12-17
248,248,Invoice,Paid,2085.7,2024-07-25
249,249,Card,Pending,124.65,2025-01-13
250,250,Card,Paid,775.24,2022-08-09
251,251,Invoice,Paid,658.5,2025-11-04
252,252,Invoice,Paid,239.36,2024-08-17
253,253,Bank Transfer,Paid,2488.46,2022-09-24
254,254,Bank Transfer,Paid,842.73,2022-10-15
255,255,Bank Transfer,Paid,869.95,2023-11-29
256,256,Bank Transfer,Paid,1593.31,2024-09-09
257,257,Card,Paid,537.11,2025-03-04
258,258,Card,Paid,591.48,2025-11-03
259,259,Bank Transfer,Paid,738.54,2022-07-20
260,260,Bank Transfer,Paid,1424.87,2023-01-22
261,261,PayPal,Paid,2091.04,2025-06-25
262,262,Bank Transfer,Paid,228.05,2025-04-14
263,263,PayPal,Pending,723.84,2024-08-13
264,264,Bank Transfer,Paid,5246.21,2022-05-24
265,265,Bank Transfer,Pending,142.17,2025-10-17
266,266,PayPal,Paid,2367.1,2022-04-13
267,267,Invoice,Pending,1086.06,2023-04-18
268,268,Invoice,Refunded,1666.49,2025-07-22
269,269,Invoice,Paid,1112.52,2023-09-09
270,270,Bank Transfer,Paid,1574.25,2023-08-05
271,271,Bank Transfer,Paid,1586.62,2025-11-11
272,272,Bank Transfer,Paid,208.83,2023-04-17
273,273,PayPal,Pending,986.18,2022-11-08
274,274,Invoice,Paid,733.47,2022-02-13
275,275,Bank Transfer,Paid,1145.34,2023-05-02
276,276,Card,Paid,85.61,2025-05-04
277,277,PayPal,Paid,443.6,2025-05-13
278,278,Invoice,Pending,607.04,2023-12-23
279,279,Invoice,Paid,300.82,2025-02-08
280,280,Card,Paid,393.3,2025-05-10
281,281,PayPal,Paid,3084.69,2024-12-14
282,282,Card,Paid,238.17,2025-12-11
283,283,Invoice,Pending,1621.2,2023-08-18
284,284,Invoice,Paid,1001.26,2024-12-01
285,285,Card,Paid,243.14,2022-11-09
286,286,Card,Paid,817.27,2024-02-02
287,287,Bank Transfer,Paid,632.8,2025-02-07
288,288,PayPal,Pending,129.9,2025-11-22
289,289,PayPal,Refunded,2008.59,2025-07-16
290,290,Card,Paid,909.41,2025-10-17
291,291,Card,Pending,204.71,2023-04-20
292,292,Bank Transfer,Paid,236.34,2024-07-17
293,293,PayPal,Refunded,1241.02,2024-07-26
294,294,Card,Pending,829.44,2025-06-13
295,295,Bank Transfer,Paid,1143.77,2025-08-15
296,296,Invoice,Pending,60.47,2025-02-23
297,297,Card,Paid,535.87,2022-05-28
298,298,Invoice,Paid,1173.75,2023-11-16
299,299,Bank Transfer,Paid,1163.79,2023-09-30
300,300,PayPal,Pending,2832.28,2023-07-14
301,301,Card,Pending,2318.27,2025-03-26
302,302,Bank Transfer,Paid,749.86,2022-10-07
303,303,Card,Paid,1740.43,2022-09-28
304,304,Invoice,Paid,1688.39,2024-05-18
305,305,PayPal,Pending,926.9,2025-07-10
306,306,Card,Pending,1461.44,2024-04-21
307,307,PayPal,Paid,1540.75,2024-08-05
308,308,Card,Paid,1003.54,2022-12-05
309,309,Invoice,Paid,1558.27,2023-04-01
310,310,PayPal,Pending,549.81,2024-12-22
311,311,Invoice,Paid,450.24,2024-04-24
312,312,Bank Transfer,Pending,53.66,2025-03-15
313,313,Bank Transfer,Pending,1745.97,2022-06-24
314,314,Bank Transfer,Paid,244.24,2022-11-25
315,315,Card,Refunded,2698.18,2022-10-13
316,316,Card,Paid,451.16,2023-08-28
317,317,PayPal,Paid,340.75,2025-12-25
318,318,Card,Paid,1952.04,2023-07-17
319,319,Invoice,Paid,1051.95,2022-02-26
320,320,Bank Transfer,Paid,1995.8,2023-02-04
321,321,Card,Pending,1751.75,2022-06-28
322,322,Bank Transfer,Paid,1922.04,2025-04-29
323,323,Card,Pending,957.6,2024-03-07
324,324,PayPal,Paid,1886.88,2025-10-07
325,325,Invoice,Pending,414.94,2024-11-17
326,326,Bank Transfer,Paid,1850.97,2025-11-27
327,327,Invoice,Paid,1078.0,2022-10-05
328,328,Card,Paid,1897.5,2023-10-06
329,329,PayPal,Paid,638.37,2024-03-05
330,330,Invoice,Paid,2240.33,2025-05-22
331,331,PayPal,Paid,282.96,2022-11-01
332,332,Bank Transfer,Pending,1424.97,2022-10-30
333,333,Invoice,Paid,511.66,2023-08-30
334,334,PayPal,Pending,702.6,2023-03-20
335,335,Invoice,Pending,1186.9,2025-03-04
336,336,Invoice,Paid,206.55,2025-10-20
337,337,PayPal,Paid,2252.51,2025-11-05
338,338,Card,Paid,700.94,2023-07-27
339,339,Invoice,Paid,106.8,2025-02-07
340,340,Bank Transfer,Paid,1459.94,2025-08-17
341,341,Invoice,Paid,1699.02,2022-06-26
342,342,Card,Pending,2684.12,2023-12-01
343,343,Bank Transfer,Pending,424.43,2024-08-12
344,344,Bank Transfer,Paid,611.13,2022-08-31
345,345,Card,Paid,3795.5,2025-12-03
346,346,PayPal,Paid,2227.78,2025-05-20
347,347,Invoice,Paid,368.28,2025-11-07
348,348,Card,Paid,616.38,2024-11-21
349,349,Bank Transfer,Pending,949.85,2025-12-06
350,350,Card,Paid,774.35,2024-12-25
351,351,PayPal,Paid,1215.63,2023-07-28
352,352,Bank Transfer,Paid,356.84,2023-12-06
353,353,PayPal,Pending,4021.28,2023-04-28
354,354,Invoice,Pending,445.51,2024-11-22
355,355,Bank Transfer,Pending,1227.79,2025-12-15
356,356,Bank Transfer,Refunded,122.16,2023-05-24
357,357,Bank Transfer,Paid,438.05,2022-08-04
358,358,Card,Paid,1871.48,2024-06-05
359,359,PayPal,Refunded,764.61,2023-07-13
360,360,Invoice,Paid,1420.64,2025-10-03
361,361,Invoice,Paid,5255.44,2024-12-19
362,362,PayPal,Paid,3980.66,2022-03-16
363,363,Bank Transfer,Paid,892.65,2022-08-02
364,364,Invoice,Paid,530.0,2024-06-02
365,365,Card,Paid,61.2,2025-06-13
366,366,Card,Paid,1173.69,2022-04-07
367,367,Bank Transfer,Paid,2290.1,2023-02-09
368,368,PayPal,Paid,3939.89,2024-03-03
369,369,Bank Transfer,Paid,1041.54,2024-02-06
370,370,PayPal,Paid,1344.8,2022-12-12
371,371,Card,Pending,365.75,2025-12-19
372,372,PayPal,Paid,840.86,2023-04-23
373,373,Card,Paid,893.03,2022-03-22
374,374,Bank Transfer,Pending,2289.93,2023-02-28
375,375,PayPal,Pending,1090.34,2024-01-24
376,376,Invoice,Paid,1552.71,2023-03-04
377,377,Invoice,Paid,999.94,2022-02-16
378,378,Card,Paid,889.2,2024-04-11
379,379,Invoice,Pending,776.54,2023-01-17
380,380,Bank Transfer,Paid,320.27,2024-11-29
381,381,Invoice,Paid,298.89,2024-04-26
382,382,Card,Paid,843.24,2023-07-06
383,383,PayPal,Paid,618.28,2024-02-08
384,384,Invoice,Paid,1944.14,2023-02-11
385,385,Card,Paid,1467.33,2023-03-02
386,386,Invoice,Paid,1476.63,2023-05-08
387,387,Invoice,Paid,3591.23,2024-06-10
388,388,Card,Paid,2072.12,2022-04-05
389,389,Bank Transfer,Refunded,300.15,2023-05-18
390,390,Card,Paid,566.36,2025-09-10
391,391,PayPal,Paid,564.8,2024-12-04
392,392,Invoice,Pending,414.72,2024-09-29
393,393,PayPal,Paid,1254.41,2022-01-10
394,394,PayPal,Pending,1212.46,2024-08-25
395,395,PayPal,Paid,1031.17,2022-03-16
396,396,Card,Paid,1016.14,2024-03-19
397,397,Card,Paid,2203.29,2022-11-02
398,398,Bank Transfer,Paid,272.76,2025-08-18
399,399,Card,Paid,3467.28,2023-03-04
400,400,Bank Transfer,Paid,405.59,2023-02-09
401,401,Bank Transfer,Refunded,547.38,2024-12-08
402,402,PayPal,Refunded,1561.22,2025-11-16
403,403,Invoice,Paid,2894.07,2022-09-29
404,404,Invoice,Paid,936.16,2025-11-03
405,405,Invoice,Paid,378.02,2025-06-14
406,406,Invoice,Paid,531.93,2023-08-15
407,407,Card,Paid,152.26,2022-12-10
408,408,Invoice,Paid,314.51,2025-04-03
409,409,Invoice,Refunded,4344.11,2022-07-07
410,410,Invoice,Paid,2688.43,2023-07-11
411,411,Invoice,Paid,826.52,2023-12-28
412,412,Card,Paid,234.79,2025-08-03
413,413,Card,Paid,1828.54,2024-07-14
414,414,Bank Transfer,Paid,2108.94,2022-06-16
415,415,Bank Transfer,Paid,2097.9,2024-02-03
416,416,Bank Transfer,Paid,525.08,2025-02-18
417,417,Card,Paid,189.4,2022-07-14
418,418,Bank Transfer,Refunded,2733.69,2022-10-30
419,419,Card,Pending,966.39,2025-09-25
420,420,PayPal,Paid,636.34,2025-08-23
421,421,Card,Paid,2948.69,2025-10-23
422,422,Card,Paid,17.14,2024-01-06
423,423,PayPal,Paid,1119.71,2025-12-07
424,424,Invoice,Pending,591.98,2025-05-01
425,425,Card,Paid,1158.82,2023-01-02
426,426,Invoice,Paid,496.68,2024-03-05
427,427,PayPal,Pending,707.36,2025-11-01
428,428,Card,Paid,1033.87,2022-11-07
429,429,PayPal,Paid,1896.5,2023-04-16
430,430,Card,Paid,960.79,2024-09-13
431,431,Bank Transfer,Paid,748.68,2025-10-26
432,432,PayPal,Paid,310.42,2023-09-08
433,433,Bank Transfer,Paid,387.3,2023-05-31
434,434,Bank Transfer,Paid,996.94,2024-07-03
435,435,Bank Transfer,Paid,550.36,2023-12-30
436,436,Invoice,Paid,1013.72,2022-12-04
437,437,PayPal,Paid,151.68,2023-06-07
438,438,Invoice,Paid,1373.26,2023-06-25
439,439,PayPal,Paid,491.65,2024-04-04
440,440,Invoice,Paid,372.75,2024-10-28
441,441,Bank Transfer,Paid,665.99,2024-04-03
442,442,Bank Transfer,Pending,1036.34,2022-07-07
443,443,Invoice,Refunded,194.29,2022-12-08
444,444,Invoice,Paid,1053.89,2024-09-28
445,445,Card,Paid,224.69,2022-03-09
446,446,PayPal,Pending,2079.46,2024-03-17
447,447,Invoice,Paid,227.95,2025-08-15
448,448,PayPal,Paid,1424.23,2024-04-27
449,449,PayPal,Paid,3401.93,2024-10-13
450,450,Invoice,Paid,54.53,2025-07-31
451,451,Card,Paid,1773.93,2025-08-07
452,452,Bank Transfer,Paid,239.96,2025-12-17
453,453,Bank Transfer,Pending,1612.87,2023-07-30
454,454,Card,Pending,879.88,2024-03-13
455,455,Card,Paid,964.9,2023-05-31
456,456,Bank Transfer,Pending,132.23,2025-05-13
457,457,Bank Transfer,Paid,295.7,2023-05-24
458,458,PayPal,Paid,837.99,2024-05-25
459,459,Card,Paid,1327.52,2023-06-22
460,460,PayPal,Pending,3564.37,2025-07-02
461,461,PayPal,Paid,2490.87,2025-06-22
462,462,Invoice,Paid,273.72,2022-02-22
463,463,PayPal,Paid,1125.8,2023-09-09
464,464,Bank Transfer,Paid,227.06,2025-10-24
465,465,Bank Transfer,Paid,1001.33,2023-12-29
466,466,PayPal,Paid,1156.2,2022-07-31
467,467,Card,Refunded,426.66,2025-12-28
468,468,Bank Transfer,Paid,668.76,2023-03-21
469,469,Card,Paid,531.46,2022-09-29
470,470,Invoice,Paid,1827.7,2022-11-10
471,471,Card,Paid,1178.14,2024-04-29
472,472,Card,Paid,673.62,2024-03-11
473,473,Card,Paid,1097.16,2022-12-21
474,474,Invoice,Paid,121.21,2023-04-29
475,475,PayPal,Paid,686.53,2024-04-07
476,476,Bank Transfer,Paid,4566.68,2024-06-08
477,477,PayPal,Pending,617.7,2025-07-07
478,478,Bank Transfer,Paid,1272.82,2022-10-26
479,479,Bank Transfer,Paid,2392.92,2024-07-31
480,480,Bank Transfer,Pending,938.35,2022-12-30
481,481,Card,Paid,2535.9,2025-09-08
482,482,Bank Transfer,Paid,247.56,2024-11-01
483,483,PayPal,Paid,490.4,2022-02-12
484,484,PayPal,Paid,483.74,2024-01-21
485,485,PayPal,Pending,238.84,2023-01-03
486,486,Invoice,Paid,704.39,2024-07-18
487,487,Card,Paid,2768.83,2022-12-31
488,488,Invoice,Paid,728.47,2023-11-09
489,489,PayPal,Paid,1373.11,2023-02-01
490,490,Bank Transfer,Paid,1004.34,2024-08-21
491,491,Invoice,Paid,1748.68,2023-01-23
492,492,Card,Pending,183.82,2025-07-13
493,493,Invoice,Paid,1203.48,2023-10-19
494,494,Invoice,Paid,20.85,2023-03-28
495,495,PayPal,Paid,785.0,2022-12-11
496,496,PayPal,Pending,983.86,2022-08-04
497,497,Invoice,Pending,2045.47,2022-03-17
498,498,Invoice,Paid,1806.08,2025-02-02
499,499,Invoice,Pending,542.0,2022-06-14
500,500,PayPal,Paid,671.61,2025-03-24
501,501,PayPal,Pending,304.61,2022-04-20
502,502,Card,Refunded,2564.72,2024-01-25
503,503,PayPal,Paid,311.74,2025-11-19
504,504,Bank Transfer,Paid,591.09,2022-06-06
505,505,Card,Paid,637.42,2023-06-10
506,506,Invoice,Pending,213.06,2024-08-28
507,507,Card,Refunded,3086.6,2025-06-28
508,508,PayPal,Paid,91.7,2022-07-02
509,509,Bank Transfer,Pending,1003.28,2023-08-05
510,510,PayPal,Pending,276.05,2025-09-17
511,511,Card,Paid,1433.38,2022-10-01
512,512,Invoice,Refunded,442.32,2022-01-26
513,513,Bank Transfer,Paid,418.41,2022-12-16
514,514,Bank Transfer,Paid,1322.3,2025-05-29
515,515,Card,Paid,1138.34,2023-09-01
516,516,PayPal,Pending,898.97,2022-11-03
517,517,Invoice,Paid,277.75,2023-05-31
518,518,Bank Transfer,Paid,1685.31,2025-09-15
519,519,Card,Paid,1462.27,2022-10-24
520,520,Bank Transfer,Refunded,426.0,2025-08-20
521,521,Card,Paid,560.02,2025-08-25
522,522,Bank Transfer,Paid,864.79,2023-09-02
523,523,Card,Paid,1062.88,2022-11-30
524,524,PayPal,Paid,177.32,2023-04-15
525,525,Card,Pending,774.72,2025-12-08
526,526,Card,Pending,440.3,2024-11-22
527,527,Bank Transfer,Pending,1647.02,2025-04-05
528,528,Bank Transfer,Paid,193.52,2022-02-23
529,529,PayPal,Paid,1191.93,2024-08-21
530,530,Invoice,Paid,1784.76,2022-05-15
531,531,Invoice,Pending,2940.51,2025-12-26
532,532,Card,Paid,1117.22,2022-03-21
533,533,Bank Transfer,Paid,359.25,2025-03-10
534,534,Invoice,Paid,646.34,2023-02-08
535,535,Bank Transfer,Paid,569.52,2024-12-12
536,536,Invoice,Paid,1063.09,2022-12-22
537,537,Invoice,Paid,241.72,2023-10-31
538,538,Card,Paid,1647.25,2025-10-23
539,539,PayPal,Refunded,769.32,2025-11-12
540,540,Card,Paid,1770.66,2022-11-13
541,541,PayPal,Pending,1168.44,2025-04-09
542,542,Bank Transfer,Paid,723.1,2022-09-03
543,543,Bank Transfer,Pending,1317.67,2025-07-03
544,544,Bank Transfer,Pending,1504.78,2022-12-18
545,545,Bank Transfer,Paid,3223.21,2025-12-07
546,546,Bank Transfer,Paid,1472.3,2023-12-22
547,547,Bank Transfer,Paid,706.57,2023-08-31
548,548,Invoice,Paid,2412.19,2024-07-30
549,549,Bank Transfer,Pending,897.72,2024-12-19
550,550,Invoice,Paid,1950.02,2024-03-08
551,551,Bank Transfer,Paid,1343.0,2024-07-24
552,552,Bank Transfer,Pending,773.72,2023-12-05
553,553,Bank Transfer,Paid,988.53,2024-09-02
554,554,Bank Transfer,Paid,888.49,2022-11-02
555,555,Card,Paid,842.89,2025-07-01
556,556,PayPal,Paid,1386.01,2025-05-24
557,557,PayPal,Paid,3961.56,2023-11-26
558,558,Invoice,Pending,1180.56,2024-02-13
559,559,Invoice,Paid,40.86,2024-06-13
