return_id,order_item_id,return_date,return_reason,refund_amount,return_status
74,1298,2022-12-16,Not as Described,88.9,Rejected
75,1307,2022-03-01,Not as Described,36.75,Approved
76,1311,2024-08-25,Changed Mind,152.1,Approved
77,1324,2025-03-29,Wrong Item,178.47,Approved
78,1328,2025-01-10,Changed Mind,511.94,Approved
79,1329,2023-01-06,Not as Described,58.51,Approved
80,1331,2023-01-01,Not as Described,149.86,Approved
81,1341,2022-11-18,Not as Described,761.81,Approved
82,1395,2022-12-16,Changed Mind,1205.69,Rejected
83,1400,2025-05-16,Changed Mind,329.37,Approved
84,1469,2024-12-15,Changed Mind,69.69,Approved
85,1471,2024-10-25,Not as Described,1676.3,Rejected
86,1489,2024-08-29,Wrong Item,391.01,Approved
87,1491,2025-11-12,Damaged,165.61,Approved
88,1501,2024-12-12,Damaged,813.62,Approved
89,1538,2025-08-30,Changed Mind,294.79,Approved
90,1545,2024-05-07,Changed Mind,1521.95,Approved
91,1611,2025-02-16,Damaged,733.78,Rejected
92,1624,2025-06-30,Not as Described,33.91,Rejected
93,1651,2025-03-25,Late Delivery,154.74,Approved
94,1659,2023-01-12,Not as Described,377.11,Approved
95,1662,2023-02-20,Not as Described,1959.72,Approved
96,1687,2024-06-28,Changed Mind,501.87,Rejected
97,1690,2024-12-18,Damaged,83.76,Approved
98,1709,2025-11-25,Late Delivery,427.75,Rejected
99,1728,2022-04-07,Damaged,315.15,Rejected
100,1773,2022-09-19,Not as Described,1588.12,Rejected
101,1810,2023-09-14,Not as Described,138.25,Approved
102,1822,2022-09-18,Damaged,148.65,Rejected
103,1835,2023-12-04,Not as Described,264.5,Rejected
104,1885,2025-01-10,Not as Described,132.15,Approved
105,1889,2025-07-28,Changed Mind,98.94,Approved
106,1923,2023-01-24,Changed Mind,799.67,Rejected
107,1943,2022-12-28,Damaged,667.35,Rejected
108,1965,2024-06-04,Not as Described,755.24,Approved
109,2005,2023-11-22,Not as Described,38.6,Approved
110,2014,2022-08-06,Wrong Item,791.89,Rejected
111,2017,2023-12-19,Damaged,88.08,Approved
112,2100,2025-11-03,Not as Described,894.97,Rejected
113,2115,2023-11-29,Damaged,204.01,Approved
114,2119,2024-12-04,Not as Described,1406.64,Approved
115,2132,2025-06-22,Changed Mind,401.64,Approved
116,2134,2024-08-28,Changed Mind,837.43,Rejected
117,2143,2024-12-01,Damaged,843.08,Approved
118,2170,2024-05-25,Damaged,323.56,Approved
119,2177,2022-11-27,Not as Described,562.83,Approved
120,2219,2024-08-10,Damaged,112.68,Rejected
121,2263,2022-07-01,Damaged,1542.5,Rejected
122,2290,2023-05-29,Wrong Item,780.76,Rejected
123,2297,2023-09-07,Damaged,238.25,Approved
124,2301,2023-04-26,Not as Described,365.65,Approved
125,2309,2025-04-23,Late Delivery,162.32,Approved
126,2354,2022-10-08,Late Delivery,69.31,Rejected
127,2379,2023-09-16,Damaged,766.9,Approved
128,2417,2025-09-01,Changed Mind,228.61,Approved
129,2420,2022-06-20,Changed Mind,124.33,Approved
130,2431,2023-09-09,Changed Mind,542.0,Approved
131,2435,2025-08-09,Wrong Item,240.97,Approved
132,2439,2025-11-22,Wrong Item,111.29,Approved
133,2456,2022-12-27,Changed Mind,284.11,Rejected
134,2479,2025-05-03,Wrong Item,189.08,Approved
135,2521,2024-12-06,Changed Mind,70.58,Approved
136,2538,2023-07-11,Changed Mind,954.59,Approved
137,2539,2023-07-15,Changed Mind,52.54,Approved
138,2561,2023-05-24,Not as Described,62.83,Rejected
139,2589,2024-08-19,Wrong Item,155.3,Approved
140,2592,2024-07-01,Damaged,201.0,Approved
141,2615,2025-07-22,Changed Mind,357.04,Approved
142,2623,2025-12-16,Wrong Item,661.77,Approved
143,2636,2025-08-30,Late Delivery,22.75,Approved
144,2646,2025-12-04,Changed Mind,958.03,Approved
145,2650,2026-01-05,Late Delivery,756.7,Approved
146,2654,2022-11-25,Changed Mind,250.1,Rejected
147,2665,2025-12-09,Changed Mind,399.57,Rejected
148,2677,2025-02-11,Changed Mind,389.39,Approved
149,2707,2022-10-21,Damaged,100.8,Rejected
150,2710,2022-10-09,Wrong Item,773.41,Approved
151,2715,2025-09-19,Wrong Item,46.55,Approved
152,2729,2022-02-08,Changed Mind,1116.75,Rejected
153,2742,2023-01-11,Not as Described,449.1,Approved
154,2749,2025-10-07,Damaged,558.83,Approved
155,2754,2023-01-28,Damaged,54.64,Approved
156,2769,2025-09-18,Changed Mind,222.84,Rejected
157,2810,2025-08-04,Changed Mind,16.53,Approved
158,2867,2022-11-14,Changed Mind,181.52,Approved
159,2878,2023-08-18,Changed Mind,751.4,Approved
160,2913,2022-07-12,Changed Mind,384.42,Approved
161,2921,2024-10-12,Changed Mind,70.01,Rejected
162,2936,2023-05-29,Changed Mind,700.06,Rejected
163,2940,2025-09-14,Changed Mind,349.6,Rejected
164,2952,2024-01-31,Wrong Item,306.6,Rejected
165,2988,2022-11-14,Not as Described,1324.01,Rejected
166,3023,2022-02-04,Changed Mind,117.89,Approved
167,3024,2022-01-27,Late Delivery,686.04,Approved
168,3044,2022-08-31,Not as Described,375.92,Approved
169,3080,2024-01-26,Wrong Item,1494.27,Approved
170,3102,2024-10-24,Wrong Item,30.23,Rejected
171,3135,2023-09-09,Damaged,206.72,Rejected
172,3158,2023-03-19,Not as Described,469.0,Approved
173,3181,2024-01-21,Late Delivery,204.97,Approved
174,3187,2023-06-26,Changed Mind,1543.45,Approved
175,3217,2022-10-13,Wrong Item,1297.46,Approved
176,3250,2022-08-21,Late Delivery,733.43,Rejected
177,3258,2024-02-10,Changed Mind,185.43,Approved
178,3295,2022-01-22,Not as Described,434.03,Approved
179,3312,2022-08-08,Changed Mind,989.62,Approved
180,3329,2025-12-02,Wrong Item,429.33,Approved
181,3372,2023-10-29,Late Delivery,652.17,Rejected
182,3380,2023-12-27,Not as Described,643.2,Approved
183,3403,2023-11-10,Late Delivery,14.3,Rejected
184,3456,2023-11-03,Changed Mind,216.51,Approved
185,3463,2022-04-09,Wrong Item,160.93,Approved
186,3473,2024-11-09,Late Delivery,817.33,Approved
187,3475,2022-05-25,Changed Mind,1277.15,Rejected
188,3489,2025-04-01,Changed Mind,487.27,Approved
189,3497,2025-07-05,Changed Mind,145.91,Approved
190,3562,2025-10-07,Changed Mind,738.73,Approved
191,3564,2024-05-23,Damaged,146.92,Approved
192,3567,2024-06-03,Late Delivery,727.19,Approved
193,3590,2024-05-19,Changed Mind,228.54,Approved
194,3641,2025-10-11,Changed Mind,554.37,Approved
195,3665,2023-05-27,Late Delivery,444.45,Rejected
196,3693,2023-01-07,Changed Mind,604.01,Approved
197,3716,2025-04-06,Changed Mind,261.9,Approved
198,3719,2022-06-26,Changed Mind,434.92,Approved
199,3726,2025-08-22,Not as Described,316.4,Rejected
200,3747,2022-08-28,Damaged,1070.13,Rejected
201,3754,2024-01-17,Changed Mind,96.4,Approved
202,3762,2023-12-06,Wrong Item,1317.37,Rejected
203,3797,2025-04-10,Damaged,45.54,Approved
204,3800,2024-10-16,Changed Mind,373.78,Approved
205,3819,2024-06-16,Wrong Item,316.3,Approved
206,3854,2023-02-12,Changed Mind,463.61,Rejected
207,3872,2022-11-10,Not as Described,197.41,Approved
208,3883,2025-08-08,Not as Described,155.46,Rejected
209,3916,2023-05-22,Damaged,446.37,Approved
210,3934,2024-05-20,Not as Described,43.66,Approved
211,3942,2023-10-13,Changed Mind,980.17,Rejected
212,3992,2024-03-17,Not as Described,70.66,Approved
213,4051,2024-07-25,Not as Described,482.38,Rejected
214,4060,2025-01-14,Late Delivery,92.96,Approved
215,4071,2025-08-06,Changed Mind,807.79,Approved
216,4084,2024-12-13,Damaged,384.22,Rejected
217,4085,2024-12-20,Not as Described,718.41,Approved
218,4091,2025-10-29,Changed Mind,1540.8,Approved
219,4119,2025-05-13,Not as Described,358.27,Approved
220,4127,2025-09-18,Late Delivery,342.51,Approved
221,4152,2024-12-28,Changed Mind,122.32,Rejected
222,4154,2024-09-21,Changed Mind,42.76,Rejected
223,4175,2023-08-12,Late Delivery,151.22,Rejected
224,4207,2023-09-08,Changed Mind,626.65,Approved
225,4210,2023-09-08,Wrong Item,76.93,Approved
226,4216,2025-08-20,Not as Described,201.59,Approved
227,4231,2022-10-08,Not as Described,89.06,Rejected
228,4233,2024-12-17,Damaged,2441.46,Approved
229,4236,2023-08-07,Late Delivery,490.93,Rejected
230,4237,2024-12-09,Not as Described,1075.94,Approved
231,4240,2022-08-02,Wrong Item,80.93,Approved
232,4288,2025-03-20,Not as Described,37.52,Approved
233,4302,2024-05-12,Not as Described,108.83,Rejected
234,4323,2022-10-21,Late Delivery,2331.05,Approved
235,4327,2022-11-04,Not as Described,48.17,Approved
236,4340,2024-03-09,Not as Described,187.51,Rejected
237,4382,2023-02-16,Damaged,58.43,Approved
238,4392,2024-06-26,Wrong Item,529.06,Approved
239,4396,2024-07-05,Changed Mind,320.79,Rejected
240,4411,2025-03-13,Changed Mind,290.12,Approved
241,4412,2025-02-28,Not as Described,342.52,Approved
242,4456,2022-08-09,Changed Mind,259.91,Approved
243,4465,2025-02-11,Not as Described,670.66,Rejected
244,4466,2024-12-02,Damaged,92.29,Approved
245,4472,2024-05-30,Not as Described,56.42,Approved
246,4523,2023-11-12,Late Delivery,1160.04,Approved
247,4552,2023-11-01,Damaged,148.69,Approved
248,4596,2023-06-28,Wrong Item,373.96,Approved
249,4598,2023-07-01,Wrong Item,28.05,Approved
250,4602,2024-01-28,Wrong Item,506.87,Approved
251,4673,2024-01-01,Not as Described,286.24,Approved
252,4722,2023-11-15,Damaged,284.27,Approved
253,4732,2025-02-16,Changed Mind,207.84,Approved
254,4748,2024-08-22,Damaged,1744.03,Approved
255,4757,2024-09-17,Late Delivery,643.64,Approved
256,4778,2022-07-03,Late Delivery,173.84,Rejected
257,4794,2024-09-30,Changed Mind,910.97,Approved
258,4843,2026-01-07,Changed Mind,262.35,Approved
259,4879,2022-04-25,Not as Described,258.09,Approved
260,4891,2025-07-26,Changed Mind,424.2,Rejected
261,4957,2022-07-09,Damaged,865.03,Approved
262,4967,2025-05-12,Not as Described,230.83,Approved
263,4974,2026-01-17,Damaged,318.69,Rejected
264,4977,2024-09-03,Not as Described,137.23,Approved
265,5022,2023-12-27,Not as Described,245.47,Rejected
266,5036,2024-12-04,Late Delivery,184.7,Approved
267,5042,2025-11-20,Wrong Item,1136.0,Approved
268,5062,2022-07-29,Damaged,82.86,Approved
269,5063,2022-07-16,Late Delivery,170.51,Approved
270,5068,2024-12-03,Not as Described,117.92,Rejected
271,5106,2022-06-04,Not as Described,79.26,Approved
272,5119,2022-07-05,Changed Mind,1689.42,Approved
273,5141,2025-11-12,Wrong Item,766.15,Approved
274,5144,2025-11-25,Damaged,90.06,Approved
275,5147,2023-08-02,Damaged,476.58,Approved
276,5148,2023-07-22,Changed Mind,83.81,Approved
277,5161,2025-07-12,Late Delivery,479.16,Approved
278,5165,2024-08-18,Damaged,215.52,Approved
279,5211,2025-06-11,Late Delivery,539.16,Approved
280,5250,2022-08-11,Damaged,893.48,Approved
281,5257,2025-02-07,Wrong Item,157.72,Rejected
282,5290,2022-12-06,Wrong Item,230.27,Approved
283,5294,2025-09-22,Wrong Item,71.07,Rejected
284,5347,2023-04-28,Damaged,102.11,Approved
285,5348,2023-04-28,Not as Described,1260.46,Rejected
286,5362,2024-12-14,Changed Mind,245.0,Approved
287,5376,2026-01-13,Not as Described,135.71,Approved
288,5393,2024-02-05,Changed Mind,426.56,Approved
289,5397,2024-02-01,Changed Mind,463.33,Approved
290,5402,2022-03-06,Changed Mind,179.6,Approved
291,5404,2022-03-12,Changed Mind,170.79,Approved
292,5421,2023-06-17,Changed Mind,1037.45,Rejected
293,5456,2022-04-14,Wrong Item,35.33,Approved
294,5475,2023-03-26,Damaged,105.71,Rejected
295,5489,2024-05-03,Damaged,791.4,Rejected
296,5503,2025-09-09,Wrong Item,79.44,Approved
297,5547,2025-12-13,Changed Mind,1587.53,Approved
298,5548,2025-11-30,Changed Mind,1018.65,Rejected
299,5563,2024-06-26,Late Delivery,105.61,Approved
300,5575,2022-11-07,Damaged,126.75,Rejected
301,5595,2025-08-14,Wrong Item,377.69,Approved
302,5607,2023-11-12,Wrong Item,348.03,Approved
303,5611,2025-04-19,Not as Described,288.48,Rejected
304,5620,2025-06-19,Changed Mind,112.91,Approved
305,5631,2023-03-01,Changed Mind,733.13,Approved
306,5646,2025-02-28,Changed Mind,198.14,Approved
307,5688,2024-12-10,Not as Described,168.35,Approved
308,5797,2026-01-04,Damaged,266.63,Approved
309,5817,2025-10-16,Changed Mind,466.3,Approved
310,5824,2024-04-25,Not as Described,578.54,Approved
311,5833,2025-12-09,Changed Mind,465.14,Rejected
312,5836,2024-03-25,Not as Described,715.56,Approved
313,5839,2023-07-24,Damaged,245.59,Rejected
314,5850,2022-02-24,Wrong Item,227.32,Approved
315,5915,2025-11-01,Not as Described,101.15,Rejected
316,5955,2024-01-20,Not as Described,168.14,Rejected
317,5956,2024-01-16,Not as Described,570.15,Approved
318,5966,2025-03-06,Not as Described,341.36,Rejected
319,5973,2025-04-26,Not as Described,1235.04,Approved
320,5977,2025-07-04,Not as Described,138.5,Rejected
321,5986,2025-01-08,Wrong Item,476.28,Rejected
322,5994,2025-11-21,Damaged,328.18,Rejected
323,5998,2024-04-16,Wrong Item,80.51,Rejected
324,6017,2022-01-31,Damaged,371.42,Approved
325,6065,2024-12-12,Not as Described,171.04,Approved
326,6073,2024-10-16,Not as Described,509.09,Approved
327,6081,2023-06-25,Not as Described,197.48,Rejected
328,6096,2025-08-25,Wrong Item,690.76,Approved
329,6116,2025-04-17,Changed Mind,278.06,Rejected
330,6120,2022-03-10,Not as Described,234.29,Approved
331,6124,2024-09-09,Changed Mind,806.4,Rejected
332,6148,2025-01-22,Wrong Item,174.01,Approved
333,6151,2022-08-01,Late Delivery,102.35,Approved
334,6160,2024-06-05,Not as Described,633.48,Approved
335,6215,2024-10-06,Late Delivery,437.92,Approved
336,6222,2025-10-29,Wrong Item,301.45,Rejected
337,6244,2023-06-27,Wrong Item,117.18,Approved
338,6248,2022-07-28,Damaged,23.74,Approved
339,6292,2024-08-23,Not as Described,580.56,Approved
340,6305,2024-01-05,Wrong Item,450.46,Approved
341,6332,2022-01-31,Not as Described,39.97,Approved
342,6349,2024-06-30,Late Delivery,782.66,Approved
343,6352,2024-07-08,Not as Described,135.29,Approved
344,6355,2025-08-20,Changed Mind,218.12,Approved
345,6388,2022-12-13,Changed Mind,239.93,Rejected
346,6432,2022-09-23,Changed Mind,89.69,Rejected
347,6454,2025-10-17,Late Delivery,227.57,Approved
348,6471,2024-02-29,Late Delivery,108.99,Rejected
349,6478,2025-03-07,Not as Described,126.58,Approved
350,6490,2023-12-22,Late Delivery,149.97,Approved
351,6494,2022-10-27,Changed Mind,84.05,Approved
352,6538,2023-08-01,Changed Mind,303.49,Rejected
353,6591,2024-08-11,Wrong Item,497.15,Approved
354,6596,2022-11-06,Not as Described,135.22,Approved
355,6616,2025-06-02,Damaged,469.67,Approved
356,6617,2022-08-11,Late Delivery,102.44,Approved
357,6627,2025-01-01,Damaged,205.6,Approved
358,6628,2025-01-10,Not as Described,196.43,Approved
359,6644,2024-03-29,Wrong Item,596.49,Approved
360,6654,2025-09-17,Damaged,43.59,Approved
361,6674,2025-10-10,Late Delivery,479.87,Rejected
362,6709,2025-01-31,Damaged,319.77,Rejected
363,6721,2023-07-09,Not as Described,775.83,Approved
364,6734,2023-12-14,Wrong Item,441.77,Rejected
365,6744,2024-02-23,Wrong Item,71.41,Rejected
366,6745,2023-05-27,Damaged,469.97,Approved
367,6750,2026-01-03,Damaged,33.72,Approved
368,6774,2022-04-13,Late Delivery,256.31,Approved
369,6776,2023-07-25,Late Delivery,148.78,Approved
370,6780,2023-01-27,Changed Mind,714.31,Rejected
371,6788,2024-03-18,Changed Mind,1470.14,Approved
372,6790,2023-06-04,Not as Described,133.46,Rejected
373,6830,2022-04-21,Changed Mind,83.01,Rejected
374,6844,2023-11-04,Changed Mind,438.81,Rejected
375,6861,2022-03-12,Wrong Item,826.55,Approved
376,6884,2022-10-04,Late Delivery,184.58,Approved
377,6908,2024-04-17,Changed Mind,729.51,Approved
378,6912,2022-11-14,Wrong Item,288.17,Approved
379,6917,2022-10-03,Damaged,626.4,Rejected
380,6924,2025-12-09,Changed Mind,232.4,Approved
381,6925,2025-12-27,Changed Mind,245.46,Approved
382,6933,2026-01-05,Wrong Item,152.91,Approved
383,7039,2025-01-19,Changed Mind,416.68,Approved
384,7041,2022-12-25,Late Delivery,219.12,Approved
385,7083,2023-12-14,Damaged,480.21,Approved
386,7084,2024-06-29,Damaged,287.11,Approved
387,7087,2023-03-14,Not as Described,462.39,Rejected
388,7096,2022-08-28,Not as Described,1359.19,Approved
389,7128,2022-12-26,Late Delivery,426.34,Approved
390,7146,2024-11-18,Not as Described,289.25,Approved
391,7168,2023-01-12,Changed Mind,182.79,Approved
392,7179,2022-06-08,Late Delivery,99.85,Approved
393,7207,2025-06-13,Changed Mind,84.92,Approved
394,7225,2022-04-07,Late Delivery,477.96,Rejected
395,7234,2026-01-29,Wrong Item,155.34,Approved
396,7250,2022-03-09,Damaged,444.98,Approved
397,7286,2022-11-11,Wrong Item,243.34,Rejected
398,7302,2024-01-10,Not as Described,119.31,Approved
399,7305,2022-11-04,Changed Mind,408.04,Approved
400,7336,2025-12-29,Damaged,895.07,Rejected
401,7378,2023-06-09,Damaged,245.46,Rejected
402,7379,2023-06-12,Damaged,70.72,Approved
403,7380,2023-05-23,Late Delivery,928.36,Approved
404,7407,2023-01-12,Not as Described,171.23,Approved
405,7467,2023-03-09,Not as Described,1331.84,Approved
406,7483,2025-06-17,Damaged,143.06,Approved
407,7504,2025-04-27,Damaged,24.46,Approved
408,7507,2024-01-04,Changed Mind,1073.86,Approved
409,7524,2024-04-29,Damaged,410.3,Rejected
410,7546,2023-11-24,Damaged,417.75,Approved
411,7565,2022-08-16,Wrong Item,294.44,Rejected
412,7573,2022-03-31,Not as Described,28.73,Approved
413,7578,2022-02-25,Not as Described,579.45,Approved
414,7608,2025-12-09,Not as Described,284.18,Approved
415,7619,2024-01-12,Changed Mind,571.45,Approved
416,7634,2025-05-22,Not as Described,2468.3,Rejected
417,7642,2022-11-12,Damaged,442.79,Rejected
418,7643,2022-11-05,Not as Described,569.06,Approved
419,7648,2025-09-21,Late Delivery,1155.37,Approved
420,7658,2023-02-16,Changed Mind,192.69,Approved
421,7664,2022-12-24,Changed Mind,148.55,Approved
422,7678,2026-01-02,Late Delivery,492.81,Approved
423,7711,2022-09-28,Damaged,471.2,Rejected
424,7725,2023-10-11,Not as Described,692.46,Approved
425,7728,2022-09-09,Changed Mind,240.93,Approved
426,7755,2023-01-06,Changed Mind,754.48,Rejected
427,7768,2025-04-03,Changed Mind,392.33,Approved
428,7779,2022-12-21,Late Delivery,151.55,Rejected
429,7806,2023-05-26,Not as Described,262.79,Approved
430,7824,2024-12-12,Not as Described,551.51,Approved
431,7837,2025-08-14,Changed Mind,21.96,Approved
432,7840,2025-07-21,Wrong Item,64.31,Approved
433,7845,2022-08-10,Not as Described,493.86,Approved
434,7868,2024-01-28,Changed Mind,50.5,Rejected
435,7877,2023-12-12,Damaged,279.57,Approved
436,7897,2023-11-14,Not as Described,328.01,Rejected
437,7911,2023-01-29,Wrong Item,638.6,Rejected
438,7919,2022-01-22,Wrong Item,1270.2,Approved
439,7925,2024-01-10,Damaged,652.28,Approved
440,7941,2023-01-01,Wrong Item,244.52,Approved
441,7972,2024-10-01,Changed Mind,225.43,Approved
442,7990,2023-06-29,Changed Mind,1390.78,Approved
443,8040,2025-12-29,Wrong Item,39.56,Approved
444,8078,2023-07-08,Damaged,51.15,Approved
445,8085,2023-05-20,Damaged,603.45,Approved
446,8107,2022-12-30,Changed Mind,277.13,Approved
447,8128,2024-11-23,Changed Mind,247.46,Rejected
448,8166,2025-09-03,Wrong Item,1044.78,Rejected
449,8190,2024-10-09,Not as Described,76.68,Approved
450,8230,2025-05-01,Damaged,681.33,Approved
451,8254,2022-05-03,Not as Described,246.21,Approved
452,8282,2023-06-11,Wrong Item,485.02,Approved
453,8285,2024-05-30,Not as Described,518.43,Rejected
454,8290,2023-12-22,Damaged,131.53,Rejected
455,8293,2024-08-19,Not as Described,228.98,Approved
456,8303,2025-08-04,Damaged,17.61,Approved
457,8309,2024-11-03,Changed Mind,267.33,Approved
458,8326,2022-07-28,Changed Mind,465.99,Approved
459,8336,2022-04-20,Not as Described,899.8,Rejected
460,8348,2022-05-06,Changed Mind,811.26,Approved
461,8354,2023-12-20,Damaged,239.35,Approved
462,8363,2022-09-29,Changed Mind,135.74,Approved
463,8378,2024-06-10,Not as Described,840.11,Rejected
464,8389,2024-06-07,Late Delivery,95.16,Approved
465,8395,2025-04-26,Changed Mind,389.99,Rejected
466,8399,2025-02-12,Damaged,112.51,Approved
467,8404,2025-05-05,Changed Mind,944.28,Rejected
468,8458,2024-12-03,Changed Mind,621.56,Approved
469,8469,2025-07-25,Damaged,438.18,Approved
470,8488,2024-04-20,Changed Mind,611.36,Rejected
471,8497,2023-03-13,Changed Mind,101.69,Approved
472,8508,2025-06-19,Changed Mind,396.43,Approved
473,8576,2025-12-19,Changed Mind,232.62,Approved
474,8578,2025-02-16,Damaged,197.72,Rejected
475,8581,2022-03-19,Not as Described,959.14,Rejected
476,8594,2025-02-23,Changed Mind,215.9,Approved
477,8598,2023-05-16,Not as Described,291.41,Rejected
478,8607,2024-04-19,Not as Described,233.25,Rejected
479,8609,2025-08-21,Changed Mind,123.02,Rejected
480,8640,2025-12-22,Damaged,220.93,Rejected
481,8643,2022-08-20,Changed Mind,31.18,Approved
482,8662,2023-09-26,Not as Described,240.58,Approved
483,8666,2025-04-25,Not as Described,385.69,Approved
484,8754,2025-12-29,Not as Described,374.59,Rejected
485,8789,2024-08-06,Not as Described,185.14,Rejected
486,8791,2024-07-20,Not as Described,794.07,Rejected
487,8803,2023-02-12,Late Delivery,150.82,Approved
488,8805,2022-12-31,Damaged,659.88,Rejected
489,8809,2025-09-18,Late Delivery,274.01,Approved
490,8811,2025-07-11,Changed Mind,105.26,Approved
491,8850,2022-01-31,Damaged,80.83,Rejected
492,8851,2022-02-05,Changed Mind,680.53,Approved
493,8852,2024-02-03,Changed Mind,192.97,Approved
494,8878,2025-12-01,Not as Described,395.56,Rejected
495,8883,2025-12-24,Not as Described,839.08,Approved
496,8894,2023-01-03,Changed Mind,616.78,Rejected
497,8923,2024-10-25,Wrong Item,122.23,Approved
498,8943,2023-01-07,Changed Mind,163.69,Approved
499,8985,2024-07-06,Not as Described,277.33,Approved
500,9004,2024-10-25,Changed Mind,106.52,Rejected
501,9022,2023-05-31,Not as Described,40.25,Approved
502,9067,2025-01-21,Changed Mind,80.14,Approved
503,9073,2025-07-21,Changed Mind,435.35,Approved
504,9088,2022-09-18,Wrong Item,740.31,Approved
505,9096,2022-05-24,Wrong Item,294.15,Approved
506,9113,2023-12-16,Wrong Item,118.11,Approved
507,9115,2023-12-31,Damaged,902.22,Approved
508,9164,2024-05-25,Damaged,149.7,Approved
509,9186,2022-04-11,Changed Mind,189.69,Rejected
510,9218,2023-03-16,Changed Mind,98.42,Approved
511,9220,2023-04-03,Wrong Item,119.69,Approved
512,9231,2025-02-14,Changed Mind,232.41,Approved
513,9309,2025-10-29,Damaged,74.8,Approved
514,9316,2024-01-31,Not as Described,504.1,Rejected
515,9318,2025-11-24,Damaged,74.78,Rejected
516,9339,2023-12-12,Not as Described,110.45,Rejected
517,9350,2025-05-22,Wrong Item,139.3,Approved
518,9353,2024-03-27,Not as Described,682.73,Rejected
519,9357,2023-04-13,Late Delivery,182.66,Approved
520,9399,2023-12-17,Changed Mind,421.57,Rejected
521,9420,2025-11-05,Changed Mind,163.35,Approved
522,9422,2025-11-06,Late Delivery,107.34,Approved
523,9447,2024-04-25,Wrong Item,285.29,Rejected
